Feature,iSHAP
rf,3.054473921711982
IdioVolAHT,0.9676743164296236
Mom12m,0.7551594172779024
IndMom,0.5743143680444657
RealizedVol,0.5451290872364719
prc,0.5441396834711272
High52,0.4948989697428836
Size,0.47137486155715225
FirmAge,0.3110972074226971
IntMom,0.3103161513020478
MomSeasonShort,0.29712582103505664
CoskewACX,0.26347221690457656
Price,0.21822505453685787
ret,0.20340333978875516
Coskewness,0.1952911226370285
betaVIX,0.19485308758510417
BetaFP,0.15286976059515622
BidAskSpread,0.12785356741070475
IdioVol3F,0.12027129602846978
Beta,0.11670426487674605
